Lopez,Pinedo,M,202,12/12/87,Spain,office@rubin-arch.co.il
Lopez,Roberto,M,66,13/12/87,El Salvador,4xlivestock@gmail.com
Lopez,Rodriguez,F,10,14/12/87,Argentina,7lturney7l@gmail.com
Lopez,Ruben,M,202,15/12/87,Spain,93tackshack@gmail.com
Lopez,Sandra,F,142,16/12/87,Mexico,acoconno@yahoo.com
Lopez,Santos,M,171,17/12/87,Peru,aftonballard@live.com
Lopez,Steven,M,228,18/12/87,United States,albertanhb@live.com
Lopez,Ventosa,F,202,19/12/87,Spain,aliciapottmeyer@live.com
Loretan,Pascal,M,209,20/12/87,Switzerland,allen@usd367.org
Lorig,Khatuna,F,228,21/12/87,United States,altimuttheelers@live.com
Lorincz,Tamas,M,99,22/12/87,Hungary,amandabutenschoen2013@yahoo.com
Losert,Venio,M,56,23/12/87,Croatia,amcvaylandwehr@yahoo.com
Losev,Ivan,M,225,24/12/87,Ukraine,ames.sj@gmail.com
Lotfi,Aly,M,65,25/12/87,Egypt,amy8424m@yahoo.com
Lotman,Paul,M,228,26/12/87,United States,amy.harvey1969@yahoo.com
Lotout,Marion,F,75,27/12/87,France,amynewsome@rocketmail.com
Louafi,Mohamed,M,3,28/12/87,Algeria,andren14@msn.com
Loughnane,Olive,F,105,29/12/87,Ireland,andrews3405@hotmail.com
Loughran,Marco,M,227,30/12/87,United Kingdom,angela@tenkillerproperty.com
Loukagkou,Evdokia,F,85,31/12/87,Greece,anneliese.apel@my.uwrf.edu
Loukas,Christina,F,228,01/01/88,United States,arbradshaw29@yahoo.com
Louloudis,Constantine,M,227,02/01/88,United Kingdom,arjohnson82@yahoo.com
Louw,Gideon,M,200,03/01/88,South Africa,arnett.chris@aol.com
Louw,Kylie,F,200,04/01/88,South Africa,ashleyshay0901@yahoo.com
Louw,Lance,M,200,05/01/88,South Africa,Ashleyshay0901@yahoo.com
Lovassy,Krisztian,M,99,06/01/88,Hungary,attoyac1@swbell.net
Love,Kevin,M,228,07/01/88,United States,austinarithson@gmail.com
Lovell,Rach,F,13,08/01/88,Australia,bacuna@nmsu.edu
Lovric,Ivana,F,56,09/01/88,Croatia,bajabum1971@live.com
Lovrovic,Dan,M,56,10/01/88,Croatia,barmkcattle@gmail.com
Lovrovic,Marin,M,56,11/01/88,Croatia,barret.morrison@tcu.edu
Lovtcova,Natalia,F,180,12/01/88,Russia,bayers218@yahoo.com
Lowden,Hunter,M,40,13/01/88,Canada,bbigtex22@hotmail.com
Lowe,Chaunte,F,228,14/01/88,United States,bearmtnangus@msn.com
Lowe,Jemma,F,227,15/01/88,United Kingdom,beejayiam@verizon.net
Loyden,Jill,F,228,16/01/88,United States,belindacooper57@gmail.com
Lozano,Antony,M,97,17/01/88,Honduras,benbogied@hotmail.com
Lu,Chunlong,M,46,18/01/88,China,benlarbennett@yahoo.com
Lu,Haojie,M,46,19/01/88,China,berg.luckyseven@gmail.com
Lu,Huihui,F,46,20/01/88,China,betsyvandyke@hotmail.com
Lu,Xiaojun,M,46,21/01/88,China,BGBurnham@cvm.tamu.edu
Lu,Xiuzhi,F,46,22/01/88,China,Biggsbird@sbcglobal.net
Lu,Yen-Hsun,M,211,23/01/88,Taiwan,bigskybison@blackfoot.net
Lu,Ying,F,46,24/01/88,China,bill@barneyranch.com
Lu,Yong,M,46,25/01/88,China,billberchranching@bmnv.com
Lu,Zhiwu,M,46,26/01/88,China,birchfarm.birch@gmail.com
Lubbers,Eva,F,154,27/01/88,Netherlands,bjohnston338@hotmail.com
Lucas,Filho,M,30,28/01/88,Brazil,blackstumpcattle@yahoo.com
Lucas,Bill,M,227,29/01/88,United Kingdom,blasirach@yahoo.com
Lucas,Dakota,M,156,30/01/88,New Zealand,blue@stvleaze.net
Lucas,Josanne,F,218,31/01/88,Trinidad And Tobago,bnc62211@yahoo.com
Lucass,Victoria,F,227,01/02/88,United Kingdom,bonanza.customz@hotmail.com
Lucca,Joao,M,30,02/02/88,Brazil,bootsnlace2012@gmail.com
Lucenti,Emmanuel,M,10,03/02/88,Argentina,bowhunter21@live.com
Luchetti,Rosario,F,10,04/02/88,Argentina,br18451895@aol.com
Luchianov,Ion,M,144,05/02/88,Moldova,bradenjohns@hotmail.com
Lucie-Smith,Samantha,F,156,06/02/88,New Zealand,bradford.jory06@gmail.com
Luckwell,Mervyn,M,227,07/02/88,United Kingdom,brandongerrits@rocketmail.com
Ludolph,Soren,M,82,08/02/88,Germany,brice.mansell@gmail.com
Ludwig,Dorothy,F,40,09/02/88,Canada,brittanychristensen@hotmail.com
Ludwig,Laura,F,82,10/02/88,Germany,brokeacehorses@gmail.com
Lui,Joseph,M,217,11/02/88,Tonga,brokeacehorses@yahoo.com
Luini,Elia,M,108,12/02/88,Italy,broncstomper36@yahoo.com
Luis,Vincent,M,75,13/02/88,France,broncstomper36@yahoo.combroncstomper
Luka,Tintu,F,101,14/02/88,India,Brooks@joberanch.net
Lukanova,Petya,F,34,15/02/88,Bulgaria,brownie10111@hotmail.com
Lukashyk,Kanstantsin,M,20,16/02/88,Belarus,brycedunleavy@me.com
Lukyanenko,Evgeniy,M,180,17/02/88,Russia,brycef@excelindustries.net
Lulu,Anolyn,F,232,18/02/88,Vanuatu,bscowboyup027@gmail.com
Lumain,Fernando,M,102,19/02/88,Indonesia,bseely@nmsu.edu
Lunde-Borgersen,Kristine,F,163,20/02/88,Norway,bsmith1479@gmail.com
Lundgren,Sofia,F,208,21/02/88,Sweden,buckspockettack@gmail.com
Lundqvist,Jens,M,208,22/02/88,Sweden,buddylittle@msn.com
Lundqvist,Therese,F,208,23/02/88,Sweden,buffbrandon@yahoo.com
Lunkuse,Jamila,F,224,24/02/88,Uganda,bunnzz66@hughes.net
Luo,Xi,F,46,25/02/88,China,butori69@gmail.com
Luo,Xiaojuan,F,46,26/02/88,China,c2blackard@gmail.com
Luo,Yutong,M,46,27/02/88,China,cactuscreek@peoplepc.com
Lupascu,Camelia,F,179,28/02/88,Romania,cade9897@gmail.com
Lupetey,Cobas,F,57,29/02/88,Cuba,calarms88@sbcglobal.net
Lupo,Daniele,M,108,01/03/88,Italy,callawaysproofshower@hotmail.com
Lupu,Nataliia,F,225,02/03/88,Ukraine,callincoyotes@vzw.blackberry.net
Lurz,Thomas,M,82,03/03/88,Germany,campa11@yahoo.com
Lush,Annie,F,227,04/03/88,United Kingdom,candraacuna@yahoo.com
Lusizi,Siphiwe,M,200,05/03/88,South Africa,canyoncal@yahoo.com
Luthersdottir,Hrafnhildur,F,100,06/03/88,Iceland,capow21@hotmail.com
Luvsanlundeg,Otgonbayar,F,146,07/03/88,Mongolia,carolinepriefert@gmail.com
Luycx,Maxime,M,21,08/03/88,Belgium,carolryther@gmail.com
Lygoe,Beth,F,184,09/03/88,Saint Lucia,carouselranch@hotmail.com
Lykov,Oleg,M,225,10/03/88,Ukraine,carrie.robbs@gmail.com
Lyle,Adrienne,F,228,11/03/88,United States,caryndarmer@gmail.com
Lymperta,Marianna,F,85,12/03/88,Greece,casascattle@hotmail.com
Lynsha,Maksim,M,20,13/03/88,Belarus,catalinaccknives@live.com
Lysenko,Tatyana,F,180,14/03/88,Russia,cathyrussell07@aol.com
Lyzhyn,Pavel,M,20,15/03/88,Belarus,cattlecrazy2@aol.com
M'Rabet,Marouane,M,219,16/03/88,Tunisia,cavagnetto.samantha@gmail.com
Ma,Huanhuan,F,46,17/03/88,China,caylorcattle@gmail.com
Ma,Jianfei,M,46,18/03/88,China,cbhislop777@live.com
Ma,Jin,F,46,19/03/88,China,ceciliasteel@gmail.com
Ma,Long,M,46,20/03/88,China,cera37@verizon.net
Ma,Wei,F,46,21/03/88,China,chad@cargileranches.com
Ma,Xuejun,F,46,22/03/88,China,chad.heather.carroll@cox.net
Ma,Yibo,F,46,23/03/88,China,challisw2008@gmail.com
Ma,Yunwen,F,46,24/03/88,China,chendersoncattle@yahoo.com
Ma,Zengyu,F,46,25/03/88,China,chenry@directv.net
Mabatle,Lebogang,F,200,26/03/88,South Africa,chepulisrachel@gmail.com
Maccari,Sofia,F,10,27/03/88,Argentina,cheyenneseymour@sheridan.edu
Macek,Bostjan,M,197,28/03/88,Slovenia,chktspainhower@yahoo.com
Macfarlane,Eve,F,156,29/03/88,New Zealand,chris@bohenekhorsemanship.com
Macgregor,Kate,F,227,30/03/88,United Kingdom,chrispepin147@hotmail.com
Macgregor,Lucy,F,227,31/03/88,United Kingdom,chuckabraham@gmail.com
Machado,Carlos,M,202,01/04/88,Spain,chuckvieh@yahoo.com
Machado,Marcelo,M,30,02/04/88,Brazil,circlelstockdogs@earthlink.net
Machavariani,Gia,M,81,03/04/88,Georgia,cjbradshaw76@yahoo.com
Machtig,Julia,F,82,04/04/88,Germany,cjgroves23@gmail.com
Macias,Isabel,F,202,05/04/88,Spain,cjmohl85@gmail.com
Maciulis,Jonas,M,127,06/04/88,Lithuania,ckaup@sbcglobal.net
Mackay,Iain,M,227,07/04/88,United Kingdom,claytonkray@hotmail.com
Mackey,Trevorvano,M,16,08/04/88,Bahamas,clayvillines@hotmail.com
Maclean,Brittany,F,40,09/04/88,Canada,clewis3905@gmail.com
Maclean,Heather,F,40,10/04/88,Canada,Cliftonclary@yahoo.com
Maclennan,Rosannagh,F,40,11/04/88,Canada,clj5502@yahoo.com
Macleod,Hannah,F,227,12/04/88,United Kingdom,clk4godsglory@yahoo.com
Macleod,Kathleen,F,13,13/04/88,Australia,clnisly@eprod.com
Mada,Bogdan,M,179,14/04/88,Romania,codycountryhorses@gmail.com
Madaj,Natalia,F,174,15/04/88,Poland,codyleet1984@yahoo.com
Madaras,Norbert,M,99,16/04/88,Hungary,codytague@hotmail.com
Madarasz,Tamas,M,99,17/04/88,Hungary,coffinbuttefarmandranch@hotmail.com
Madarasz,Viktoria,F,99,18/04/88,Hungary,coleenbowman@hotmail.com
Madden,Elizabeth,F,228,19/04/88,United States,coreddog@msn.com
Madinda,Levy,M,79,20/04/88,Gabon,cotton@ppdquarterhorses.com
Madison,Tianna,F,228,21/04/88,United States,cotykelshaw@yahoo.com
Madorno,Alejandro,M,10,22/04/88,Argentina,cowboyclint@live.com
Madsen,Lloyd,M,200,23/04/88,South Africa,cowboycole24@yahoo.com
Madsen,Mark,M,60,24/04/88,Denmark,cowboyntxus@yahoo.com
Maeda,Kayono,F,110,25/04/88,Japan,cowboyvernon@gmail.com
Maeda,Miyuki,F,110,26/04/88,Japan,cowgirlmel@msn.com
Maegli,Juan,M,90,27/04/88,Guatemala,cowgirlsluvpink2@aol.com
Maestre,Perez,M,233,28/04/88,Venezuela,cowhocks@gmail.com
Maestri,Riccardo,M,108,29/04/88,Italy,cowpony08@yahoo.com
Maevska,Mihaela,F,34,30/04/88,Bulgaria,crary@3rivers.net
Maeyens,Tim,M,21,01/05/88,Belgium,crq@goldenwest.net
Magdanis,Panagiotis,M,85,02/05/88,Greece,cshomber8626@gmail.com
Magdy,Ahmed,M,65,03/05/88,Egypt,cwestcowdogs@gmail.com
Magdy,Raghd,F,65,04/05/88,Egypt,cwestcowdogs@msn.com
Magee,Chloe,F,105,05/05/88,Ireland,cz.zandie@gmail.com
Mager,Jessica,F,82,06/05/88,Germany,dairyfarmsinc@yahoo.com
Maggaiz,Marouen,M,219,07/05/88,Tunisia,dakota317@live.com
Maggi,Maurren,F,30,08/05/88,Brazil,dallamphere@yahoo.com
Magi,Rasmus,M,69,09/05/88,Estonia,daltoncweis@gmail.com
Magiso,Fantu,F,70,10/05/88,Ethiopia,daltonlong94@hotmail.com
Maglia,Gianluca,M,108,11/05/88,Italy,dana6122@sbcglobal.net
Magliocco,Karlha,F,233,12/05/88,Venezuela,danielle.wollert@lamarcc.edu
Magnini,Filippo,M,108,13/05/88,Italy,dante@rsrealty.com
Magnussen,James,M,13,14/05/88,Australia,darlamckernan@yahoo.com
Magomedov,Jamaladdin,M,15,15/05/88,Azerbaijan,darmer@wavecable.com
Maguire,Emily,F,227,16/05/88,United Kingdom,darrenvinton@gmail.com
Maguire,Lindsey,F,227,17/05/88,United Kingdom,davegto69@yahoo.com
Mahboob,Ali,M,17,18/05/88,Bahrain,david.a.mcdonald12@gmail.com
Maher,Ben,M,17,19/05/88,Bahrain,davidaoff@hotmail.com
Maheshwary,Renjith,M,101,20/05/88,India,davidhobbs@live.com
Mahmoud,El,F,65,21/05/88,Egypt,daytrashcowboy@gmail.com
Mahran,Salma,F,65,22/05/88,Egypt,dbtclark@midrivers.com
Mahusin,Maziah,F,227,23/05/88,United Kingdom,DDSalazar@dcpmidstream.com
Mai,Maitituersun,M,46,24/05/88,China,Deafpup@gmail.com
Maia,Edi,M,175,25/05/88,Portugal,debngregkauffman@comcast.net
Maier,Michael,M,59,26/05/88,Czech Republic,debrittain@gmail.com
Maillefer,Augustin,M,209,27/05/88,Switzerland,der6500@yahoo.com
Maitrejean,Corinne,F,75,28/05/88,France,desertdoveranch@hotmail.com
Maiyo,Maureen,F,114,29/05/88,Kenya,dgross2@mail.com
Majchrzak,Kacper,M,174,30/05/88,Poland,dhtrailer@hotmail.com
Majerus,Christine,F,128,31/05/88,Luxembourg,diamondh@blackfoot.net
Majewski,Tomasz,M,174,01/06/88,Poland,diamondm6@wildblue.net
Major-Kubik,Renata,F,192,02/06/88,Serbia,diana.j.brogan@gmail.com
Majrashi,Eisa,M,190,03/06/88,Saudi Arabia,djcattle@yahoo.com
Makanza,Marina,F,75,04/06/88,France,dkdoug08@hotmail.com
Makaranka,Aliaksandr,M,20,05/06/88,Belarus,dkielar@murraystate.edu
Makarau,Ihar,M,20,06/06/88,Belarus,dlandaverde@ymail.com
Makarenko,Alina,F,180,07/06/88,Russia,dlgil2@aol.com
Makarov,Ruslan,M,231,08/06/88,Uzbekistan,dlynmills@tctwest.net
Makarova,Ekaterina,F,180,09/06/88,Russia,dmanning045@yahoo.com
Makela-Nummela,Satu,F,74,10/06/88,Finland,dmndtlivestock@yahoo.com
Makestad,Bovim,F,163,11/06/88,Norway,dreyer97@gmail.com
Makhloufi,Taoufik,M,3,12/06/88,Algeria,dustinjohns@ymail.com
Makhneu,Vadzim,M,20,13/06/88,Belarus,dwperformancehorses@yahoo.com
Makhov,Bilyal,M,180,14/06/88,Russia,DWPerformanceHorses@yahoo.com
Makinde,Oluwasegun,M,40,15/06/88,Canada,dziebell@frontier.com
Makino,Yukio,M,110,16/06/88,Japan,earthgirl9@yahoo.com
Maksimava,Yana,F,20,17/06/88,Belarus,eedwards@bensonpump.com
Maksimovic,Aleksandar,M,192,18/06/88,Serbia,einspahrcattle@plainstel.com
Maksimovic,Ivana,F,192,19/06/88,Serbia,ejohnson294@gmail.com
Maksiuta,Valeriia,F,107,20/06/88,Israel,elderflathat@yahoo.com
Maksymenko,Alina,F,225,21/06/88,Ukraine,elwoodou5@yahoo.com
Makwala,Isaac,M,28,22/06/88,Botswana,emeraldbuckle@hotmail.com
Malachowski,Piotr,M,174,23/06/88,Poland,emmylu85@hotmail.com
Malaquias,Arturo,M,142,24/06/88,Mexico,emmylu@hotmail.com
Malaussena,Aurelie,F,75,25/06/88,France,emroffice@yahoo.com
Malave,Elias,M,233,26/06/88,Venezuela,eo57325@gmail.com
Malcolm,Christian,M,227,27/06/88,United Kingdom,equinemech@hotmail.com
Maldonado,Saavedra,M,233,28/06/88,Venezuela,ericpechacek@yahoo.com
Maley,Kynan,M,13,29/06/88,Australia,esanner@nharmony.com
Malki,El,M,149,30/06/88,Morocco,farmgirl9959@yahoo.com
Mallarach,Guell,M,202,01/07/88,Spain,fensinger72@gmail.com
Mallet,Gregory,M,75,02/07/88,France,ficm2010@gmail.com
Malloy,Marti,F,228,03/07/88,United States,fieldstonestables@gmail.com
Malzahn,Claudia,F,82,04/07/88,Germany,fieryfritz@yahoo.com
Mamatova,Natalya,F,231,05/07/88,Uzbekistan,fluficat3@netscape.net
Mamayev,Nursultan,M,113,06/07/88,Kazakhstan,flying6scattle@gmail.com
Mambru,Casilla,F,63,07/07/88,Dominican Republic,fmw3@silverstar.com
Mamedov,Chingiz,M,119,08/07/88,Kyrgyzstan,forrestgalante@gmail.com
Mamedov,Mergen,M,221,09/07/88,Turkmenistan,frazier.fam123@yahoo.com
Mamedova,Sakina,F,231,10/07/88,Uzbekistan,frazier.ranch321@gmail.com
Mamishzada,Elvin,M,15,11/07/88,Azerbaijan,frednavarro1@msn.com
Mammadli,Elnur,M,15,12/07/88,Azerbaijan,friesiansforever@yahoo.com
Mammadov,Elkhan,M,15,13/07/88,Azerbaijan,Fscoggins@cox.net
Mammadov,Teymur,M,15,14/07/88,Azerbaijan,fxtrev@yahoo.com
Mamona,Patricia,F,175,15/07/88,Portugal,garn0819@vandals.uidaho.edu
Manabe,Keiko,F,110,16/07/88,Japan,garyb44@hughes.net
Manafov,Ravil,M,113,17/07/88,Kazakhstan,gcrgeneralmanagers@hotmail.com
Manaudou,Florent,M,75,18/07/88,France,Geewhy@optonline.net
Manaudou,Laure,F,75,19/07/88,France,georgenlisa@verizon.net
Mance,Joshua,M,228,20/07/88,United States,Ghcocan@yahoo.com
Mandaba,Elisabeth,F,43,21/07/88,Central African Republic,gilmore9807@yahoo.com
Mandell,Derek,M,89,22/07/88,Guam,ginranches@yahoo.com
Mandembo,Cedric,M,52,23/07/88,Democratic Republic of Congo,girlpuppy@windstream.net
Mandic,Dusan,M,192,24/07/88,Serbia,giterdone08@gmail.com
Mandic,Milica,F,192,25/07/88,Serbia,gnhawir2@aol.com
Mandir,Sandra,F,56,26/07/88,Croatia,goatman911@yahoo.com
